j0,j1,j2,j3,j4,j5
-0.6347711722003382,-2.457245651875631,-1.4754903952227991,-0.7409198919879358,-1.5888922850238245,-3.3048582712756556
-0.6347711722003382,-2.457221333180563,-1.4755385557757776,-0.7408960501300257,-1.5889161268817347,-3.304810110722677
-0.6347950140582483,-2.457245651875631,-1.4755147139178675,-0.7409079710589808,-1.5889161268817347,-3.3048582712756556
-0.6347950140582483,-2.457245651875631,-1.4754903952227991,-0.7408478895770472,-1.5888922850238245,-3.3048701922046106
-0.6347830931292933,-2.4572575728045862,-1.4755023161517542,-0.7408602873431605,-1.5889161268817347,-3.3048341909991663
-0.6347950140582483,-2.457245651875631,-1.4755023161517542,-0.7408841292010706,-1.5888684431659144,-3.3048582712756556
-0.6347592512713831,-2.457245651875631,-1.4755023161517542,-0.7408359686480921,-1.5888565222369593,-3.3048461119281214
-0.6347711722003382,-2.457245651875631,-1.4755266348468226,-0.7408121267901819,-1.5888803640948694,-3.3048701922046106
-0.634747330342428,-2.457221333180563,-1.4754903952227991,-0.7407401243792933,-1.5888565222369593,-3.304894034062521
-0.6347592512713831,-2.4572575728045862,-1.4754903952227991,-0.7407162825213831,-1.5888446013080042,-3.3048461119281214
-0.6347830931292933,-2.457245651875631,-1.475478474293844,-0.7406323591815394,-1.5888803640948694,-3.3048461119281214
-0.6347711722003382,-2.4572575728045862,-1.475478474293844,-0.7406204382525843,-1.5888565222369593,-3.3048461119281214
-0.6347950140582483,-2.457245651875631,-1.4754903952227991,-0.7405722776996058,-1.5888565222369593,-3.3048701922046106
-0.6347711722003382,-2.457221333180563,-1.4754903952227991,-0.7405603567706507,-1.5888684431659144,-3.3048582712756556
-0.6347711722003382,-2.4572694937335413,-1.4755147139178675,-0.7405484358416956,-1.5888684431659144,-3.3048461119281214
-0.6347592512713831,-2.457245651875631,-1.4755385557757776,-0.7405484358416956,-1.5888684431659144,-3.304906193410055
-0.6347592512713831,-2.4572575728045862,-1.4755147139178675,-0.7405603567706507,-1.5888803640948694,-3.3048821131335657
-0.634747330342428,-2.4572575728045862,-1.4755266348468226,-0.7405603567706507,-1.5888083616839808,-3.304906193410055
-0.6347711722003382,-2.4572694937335413,-1.4755023161517542,-0.7405841986285608,-1.5887964407550257,-3.3048582712756556
-0.6347592512713831,-2.457245651875631,-1.4755023161517542,-0.7405722776996058,-1.5888446013080042,-3.304906193410055
-0.6347830931292933,-2.4572575728045862,-1.4755023161517542,-0.7406204382525843,-1.5888326803790491,-3.304894034062521
-0.6347830931292933,-2.457245651875631,-1.4755147139178675,-0.7406442801104944,-1.5888684431659144,-3.30491811433901
-0.6347950140582483,-2.4572814146624964,-1.4755147139178675,-0.7406805197345179,-1.5888565222369593,-3.3048821131335657
-0.6348193327533167,-2.457245651875631,-1.4754546324359339,-0.7407644430743616,-1.5888803640948694,-3.3048582712756556
-0.6348908583270472,-2.4572575728045862,-1.4754183928119105,-0.7407162825213831,-1.5888446013080042,-3.304798189793722
-0.6349504629718226,-2.457245651875631,-1.4754064718829554,-0.7407763640033167,-1.5888326803790491,-3.3047383467303675
-0.6350343863116663,-2.4572814146624964,-1.4754064718829554,-0.7409198919879358,-1.5888684431659144,-3.304678503667013
-0.6351664702044886,-2.4573171774493616,-1.4753230253802698,-0.7408841292010706,-1.5888684431659144,-3.3046544233905237
-0.6353700796710413,-2.457329575215475,-1.4752143065081995,-0.7409918943988245,-1.5888565222369593,-3.304450813923971
-0.6355498472796839,-2.4573052565204065,-1.4751184622394007,-0.741028134022848,-1.5888684431659144,-3.304295365010397
-0.6357057730304163,-2.45734149614443,-1.4750350157367151,-0.7410519758807581,-1.5888922850238245,-3.304211441670553
-0.6358850638019007,-2.45734149614443,-1.4749262968646448,-0.7411716620074671,-1.5888922850238245,-3.303959671651022
-0.6362803618060511,-2.457449261342184,-1.4747584501849573,-0.7412074247943323,-1.5888803640948694,-3.3035405317889612
-0.6364482084857386,-2.457496945058004,-1.4745906035052698,-0.7413519064532679,-1.5889042059527796,-3.303277317677633
-0.6367242972003382,-2.4575451056109827,-1.4744704405414026,-0.7413399855243128,-1.5888565222369593,-3.303013626729147
-0.6370113531695765,-2.4576290289508265,-1.4743388334857386,-0.7414119879352015,-1.5888565222369593,-3.3027265707599085
-0.6376107374774378,-2.4577367941485804,-1.4740622679339808,-0.7415197531329554,-1.5888684431659144,-3.302175585423605
-0.6379459539996546,-2.4578564802752894,-1.4738829771624964,-0.7416394392596644,-1.5888565222369593,-3.3019118944751185
-0.6382816473590296,-2.4579647223102015,-1.4737027327166956,-0.7416875998126429,-1.5888684431659144,-3.301492754613058
-0.6386049429522913,-2.458024326954977,-1.4735472838031214,-0.7416875998126429,-1.5888083616839808,-3.3010857740985315
-0.6393597761737269,-2.458228413258688,-1.4731391111956995,-0.7417476812945765,-1.588736359273092,-3.300415102635519
-0.6397674719439905,-2.458348099385397,-1.472959343587057,-0.741915527974264,-1.5887845198260706,-3.2999959627734583
-0.6401508490191858,-2.4584677855121058,-1.4727790991412562,-0.7418554464923304,-1.5887606779681605,-3.299600426350729
-0.6405819098102015,-2.458504025136129,-1.4725630919085901,-0.7421072165118616,-1.5887606779681605,-3.299145046864645
-0.6414807478534144,-2.4587553183185022,-1.472131077443258,-0.7421792189227503,-1.588724438344137,-3.298330847417013
-0.6418755690204065,-2.4588750044452112,-1.4719155470477503,-0.7422393004046839,-1.5887005964862269,-3.2978995482074183
-0.6423433462726038,-2.4590066115008753,-1.471675221120016,-0.7423589865313929,-1.5887005964862269,-3.2974804083453577
-0.6428583304034632,-2.4591625372516077,-1.47145921388735,-0.7424905935870569,-1.5886767546283167,-3.2969895044909876
-0.6437333265887659,-2.4593542257892054,-1.4709556738482874,-0.7427542845355433,-1.5886767546283167,-3.2960193792926233
-0.6442483107196253,-2.459522072468893,-1.470727268849508,-0.7428501288043421,-1.588616673146383,-3.295504395161764
-0.6447513739215296,-2.459654156361715,-1.4704516569720667,-0.7430661360370081,-1.5885689894305628,-3.2951212565051478
-0.6452067534076136,-2.459773842488424,-1.4702237288104456,-0.7431381384478968,-1.5885809103595179,-3.2946065107928675
-0.6462252775775355,-2.460013214741842,-1.4696715513812464,-0.7433179060565394,-1.5885809103595179,-3.293648068104879
-0.646740738545553,-2.4601686636554163,-1.4694197813617151,-0.7435701529132288,-1.5885689894305628,-3.293145004902975
-0.6472552458392542,-2.460264507924215,-1.4691436926471155,-0.7435582319842737,-1.5885446707354944,-3.292558256779806
-0.6477950255023401,-2.4604323546039026,-1.4688556830035608,-0.7437017599688929,-1.5885689894305628,-3.2920313517199915
-0.6489093939410608,-2.460696045552389,-1.4682915846454065,-0.7439654509173792,-1.5884369055377405,-3.2909775416003626
-0.6494243780719202,-2.460827652608053,-1.4680283705340784,-0.7441695372210901,-1.588473145161764,-3.2904024759875696
-0.6499632040606897,-2.4609716574298304,-1.467668358479635,-0.7443254629718226,-1.588473145161764,-3.2898276487933558
-0.650550667439596,-2.4610794226275843,-1.4674041906939905,-0.7445171515094202,-1.5884249846087855,-3.289264742528097
-0.6516650358783167,-2.461402718220846,-1.4668048063861292,-0.7449005285846155,-1.5884249846087855,-3.2881749312030237
-0.6522396246539515,-2.4615705649005335,-1.4664323965655726,-0.7451046148883265,-1.5883892218219202,-3.2875641028033655
-0.652862850819723,-2.461726490651266,-1.4661567846881312,-0.7451165358172815,-1.5884130636798304,-3.2869532744037073
-0.6534140745746058,-2.46188193956484,-1.465844456349508,-0.7453325430499476,-1.588376824055807,-3.2863784472094935
-0.6546600500689905,-2.462205235158102,-1.4651487509356897,-0.7456086317645472,-1.5883649031268519,-3.2850850264178675
-0.6552951971637171,-2.462325398121969,-1.4648125807391565,-0.7456443945514124,-1.5883172194110315,-3.2845099608050745
-0.6559303442584437,-2.462468926106588,-1.4644768873797815,-0.7459200064288538,-1.5883052984820765,-3.283851210271017
-0.6565774122821253,-2.462661091481344,-1.4641888777362269,-0.7459800879107874,-1.5882332960711878,-3.283264462147848
-0.6579192320453089,-2.4629600683795374,-1.4634931723224085,-0.7463873068438929,-1.588257137929098,-3.281947199498312
-0.6586263815509241,-2.46311599413027,-1.4631331602679651,-0.7466872374164026,-1.588257137929098,-3.281372372304098
-0.659309212361471,-2.4633196035968226,-1.4627974669085901,-0.7467592398272913,-1.5882452170001429,-3.280665699635641
-0.6599682013141077,-2.4634512106524866,-1.4624493757831019,-0.7469990889178675,-1.588149372731344,-3.2800429503070276
-0.66138202348818,-2.4637988249408167,-1.4617293516742151,-0.7473347822772425,-1.5881612936602991,-3.2786899248706263
-0.6620648542987269,-2.4639304319964808,-1.4613693396197718,-0.7474425474749964,-1.5881851355182093,-3.2779832522021692
-0.662783447896139,-2.4641459623919886,-1.4610098044024866,-0.7477191130267542,-1.5881255308734339,-3.277348343526022
-0.6635144392596644,-2.464289967213766,-1.4606135527240198,-0.7478268782245081,-1.5880654493915003,-3.2766061464892786
-0.6649406591998499,-2.464613739644186,-1.459869686757223,-0.7482460180865687,-1.5880053679095667,-3.2752047220813196
-0.6657431761371058,-2.4648054281817835,-1.4594977537738245,-0.7484138647662562,-1.5879815260516565,-3.2745702902423304
-0.666485611592428,-2.4650209585772913,-1.459125820790426,-0.748509709035055,-1.5879815260516565,-3.2736955324756067
-0.6672170797931116,-2.4651768843280237,-1.4587538878070276,-0.7487376371966761,-1.5879696051227015,-3.2729886213885706
-0.6687262693988245,-2.4655593077289026,-1.4579623381244105,-0.7490852514850062,-1.5878737608539026,-3.2715516726123255
-0.6695058981524866,-2.4657633940326136,-1.4575546423541468,-0.7492650190936487,-1.5878856817828577,-3.2707374731646937
-0.6703203360186976,-2.465943161641256,-1.4571822325335901,-0.7494567076312464,-1.5878499189959925,-3.269982878361837
-0.6710270086871546,-2.4660986105548304,-1.4567626158343714,-0.7497323195086878,-1.5878737608539026,-3.2691922823535364
-0.6725848356830042,-2.466482464467184,-1.4559467474566858,-0.7501409689532679,-1.587801758443014,-3.267623488103048
-0.6734235922442835,-2.4666741530047815,-1.4554908911334437,-0.7503207365619105,-1.5877540747271937,-3.2667973677264612
-0.6741660276996058,-2.466865841542379,-1.4550827185260218,-0.7504761854754847,-1.5877898375140589,-3.2660067717181605
-0.6749332586871546,-2.4670570532428187,-1.454675022755758,-0.7506440321551722,-1.5877178351031702,-3.2651925722705286
-0.6765745321856897,-2.4674885908709925,-1.4537752310382288,-0.7510641256915491,-1.587682072316305,-3.2636118570910853
-0.6774008909808558,-2.46768027940859,-1.4533675352679651,-0.7513635794269007,-1.5876582304583948,-3.2628451029406946
-0.6781685988055628,-2.467883888875143,-1.4529832045184534,-0.7515671888934534,-1.58767015138735,-3.2619951407061976
-0.6789949576007288,-2.468099896107809,-1.4525516668902796,-0.7518070379840296,-1.5875981489764612,-3.2611685434924524
-0.6806486288653772,-2.4685071150409144,-1.4516637961017054,-0.752178970967428,-1.587574307118551,-3.25956374803652
-0.6815350691424769,-2.468722645436422,-1.4512317816363733,-0.7523711363421839,-1.5875023047076624,-3.258737627659933
-0.6823738257037562,-2.46891433397402,-1.450764004384176,-0.7525628248797815,-1.5875499884234827,-3.257803265248434
-0.683272663746969,-2.469153706227438,-1.450320068989889,-0.7527902762042444,-1.5874422232257288,-3.2570369879352015
-0.6850813070880335,-2.4695609251605433,-1.449336353932516,-0.7532699743853968,-1.5874903837787073,-3.255228583012716
-0.6860283056842249,-2.4698007742511194,-1.4488680998431605,-0.753521744404928,-1.5872986952411097,-3.254246536885397
-0.6869505087481897,-2.4700406233416956,-1.4483521620379847,-0.7537015120135706,-1.5874064604388636,-3.253336016331808
-0.6879451910602015,-2.470304314290182,-1.4478724638568323,-0.7539413611041468,-1.5872624556170862,-3.2523778120623987
-0.6900180021869105,-2.4708312193499964,-1.4468048254596155,-0.7544811407672327,-1.587226692830221,-3.250294033681051
-0.6910966078387659,-2.4711182753192347,-1.4462645689593714,-0.754732910786764,-1.5871427694903772,-3.249228064213888
-0.6921990553485315,-2.4714301268206995,-1.4457133452044886,-0.7550204435931605,-1.5871904532061976,-3.248150412236349
-0.6933248678790491,-2.471705738698141,-1.4451730887042444,-0.7553084532367151,-1.587010685597555,-3.2469645182238978
